                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2167,                0.83724,                 1.4093,                0.95631,                 0.9324,                0.97508,                0.44998,                 1.9048,                0.72914,                 1.7706,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.1906,                0.81468,                 1.4031,                 0.9832,                0.93778,                0.97994,                0.45405,                 1.9106,                0.67921,                 1.7829,               0.000467,               0.000467,               0.000467
                     37,                 1.1883,                0.79082,                 1.3942,                0.91493,                0.95748,                0.97568,                0.48642,                   1.77,                0.67904,                 1.6793,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.1846,                0.79049,                  1.387,                0.96896,                0.93975,                0.98115,                0.46515,                 1.8499,                0.68605,                 1.7188,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.1757,                0.77546,                 1.3801,                0.97717,                0.92229,                0.97908,                0.44878,                   1.91,                0.68135,                 1.7321,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.1697,                0.76685,                 1.3764,                0.92473,                0.97385,                0.97664,                 0.5153,                 1.6729,                0.63645,                 1.5778,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.1329,                 0.6106,                 1.3732,                0.96381,                0.93746,                0.97943,                0.49107,                 1.6916,                0.67411,                 1.6192,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.0969,                 0.6067,                 1.3478,                0.96601,                0.94712,                0.98075,                0.48839,                 1.7445,                0.63678,                 1.6792,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.0838,                0.57998,                  1.336,                0.96272,                0.96289,                0.98321,                0.51712,                 1.6844,                0.62669,                 1.5839,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.0703,                0.57807,                 1.3343,                0.97106,                0.95835,                0.98569,                0.47815,                 1.8177,                0.65014,                 1.7031,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.0601,                  0.557,                 1.3137,                0.97847,                0.94908,                0.97597,                0.48762,                 1.7857,                0.66828,                  1.671,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.0438,                0.55069,                  1.306,                 0.9573,                0.95621,                0.97094,                0.49029,                 1.7587,                0.64999,                 1.6847,             0.00018406,             0.00018406,             0.00018406
                     47,                  1.013,                0.54609,                 1.2828,                0.97005,                0.95446,                0.97987,                0.50871,                 1.7238,                 0.6321,                 1.6402,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.0123,                  0.533,                 1.2837,                0.95482,                0.96171,                0.98187,                0.48836,                 1.7745,                0.63346,                 1.7199,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.0015,                0.52784,                 1.2659,                0.95645,                0.95948,                0.97977,                0.50362,                 1.7209,                0.63593,                 1.6483,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.97984,                0.51093,                 1.2609,                0.97062,                0.96464,                0.98831,                0.52523,                 1.6826,                0.60404,                  1.602,             7.0878e-05,             7.0878e-05,             7.0878e-05
