                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.35969,                0.49408,                0.30183,                0.99654,                0.98763,                0.94717,                 0.9447,                0.92777,                0.98763,                0.94717,                0.94445,                0.92183,                0.24054,                0.37195,                 0.3832,                0.55362,              0.0010892,              0.0010892,              0.0010892
                     26,                0.36277,                0.49102,                 0.2994,                0.99516,                0.98289,                0.94717,                0.94308,                0.92624,                0.98247,                0.94717,                  0.943,                0.91907,                0.20434,                0.40936,                0.23554,                0.50454,              0.0010496,              0.0010496,              0.0010496
                     27,                0.37032,                0.48753,                0.30372,                 0.9991,                0.98036,                 0.9434,                0.95335,                0.94025,                0.98036,                 0.9434,                0.95373,                0.93322,                0.22404,                0.36953,                0.30645,                0.53338,                0.00101,                0.00101,                0.00101
                     28,                0.36625,                0.49412,                0.29583,                0.99729,                0.98603,                 0.9434,                0.95039,                0.93603,                0.98819,                0.94705,                  0.948,                0.93089,                 0.1995,                0.32518,                0.22942,                0.49337,              0.0009704,              0.0009704,              0.0009704
                     29,                0.34332,                0.48332,                0.28395,                0.98605,                0.98046,                0.94679,                0.94559,                0.93252,                0.98046,                0.94679,                0.94362,                0.92424,                0.18421,                0.35549,                0.25331,                0.48837,              0.0009308,              0.0009308,              0.0009308
                     30,                0.35806,                0.48424,                0.30136,                0.99222,                0.98045,                0.94619,                 0.9519,                0.92721,                0.98045,                0.94619,                0.94824,                0.91675,                0.21787,                0.35922,                 0.3012,                0.51329,              0.0008912,              0.0008912,              0.0008912
                     31,                0.34963,                0.46541,                0.29254,                0.98838,                 0.9879,                0.94717,                0.95647,                0.94323,                 0.9879,                0.94717,                0.95603,                0.92788,                0.18435,                0.37709,                0.25701,                0.48492,              0.0008516,              0.0008516,              0.0008516
                     32,                0.33541,                0.44558,                 0.2776,                0.98226,                0.98416,                0.93802,                0.95526,                0.94298,                0.98416,                0.93802,                0.95163,                0.93426,                0.16985,                0.36439,                0.24407,                0.46093,               0.000812,               0.000812,               0.000812
                     33,                0.34193,                0.46149,                0.28031,                0.98384,                 0.9691,                0.94664,                0.95096,                0.93568,                 0.9691,                0.94664,                0.94407,                0.93009,                0.16212,                0.37705,                  0.217,                0.47524,              0.0007724,              0.0007724,              0.0007724
                     34,                0.33616,                 0.4446,                0.27541,                0.98191,                0.98818,                0.94635,                0.95613,                0.94662,                0.98818,                0.94635,                0.95534,                0.93815,                0.15501,                0.36494,                0.19542,                0.44738,              0.0007328,              0.0007328,              0.0007328
                     35,                0.33554,                0.44648,                0.26819,                 0.9816,                 0.9878,                0.94717,                 0.9544,                 0.9395,                 0.9878,                0.94717,                0.94799,                0.93016,                0.21701,                0.34357,                0.25697,                  0.518,              0.0006932,              0.0006932,              0.0006932
                     36,                0.32637,                0.44084,                 0.2677,                0.97433,                0.97256,                0.94717,                0.94922,                0.93236,                0.97256,                0.94717,                 0.9416,                0.92722,                0.18624,                0.32319,                0.26973,                0.48245,              0.0006536,              0.0006536,              0.0006536
                     37,                0.33189,                0.43915,                0.27387,                0.98067,                0.98782,                0.94717,                0.96139,                0.94309,                0.98782,                0.94717,                0.95464,                0.93713,                0.16641,                0.36296,                0.21865,                0.45589,               0.000614,               0.000614,               0.000614
                     38,                0.31951,                0.42761,                0.26419,                0.97256,                0.98818,                0.94656,                 0.9617,                0.94663,                0.98818,                0.94656,                0.95497,                 0.9409,                0.18514,                0.34065,                0.22474,                0.48752,              0.0005744,              0.0005744,              0.0005744
                     39,                0.31744,                0.41763,                0.26273,                0.96969,                0.98725,                0.93585,                0.95858,                0.94388,                0.98725,                0.93585,                 0.9526,                0.93562,                 0.1911,                0.34636,                0.25856,                 0.4821,              0.0005348,              0.0005348,              0.0005348
                     40,                0.31729,                 0.4247,                0.25583,                0.96609,                0.98046,                0.94696,                0.95775,                0.94668,                0.98621,                0.93962,                0.95714,                 0.9402,                0.15523,                0.31884,                0.25999,                0.43857,              0.0004952,              0.0004952,              0.0004952
                     41,                0.29851,                0.36151,                0.35863,                 1.0453,                0.98794,                0.94717,                0.95097,                0.94163,                0.98794,                0.94717,                0.95031,                0.93767,                0.20398,                0.34674,                0.24071,                  0.501,              0.0004556,              0.0004556,              0.0004556
                     42,                0.28095,                0.32984,                0.28633,                 1.0278,                0.98818,                0.94666,                0.95839,                0.94489,                0.98818,                0.94666,                 0.9542,                0.94285,                0.19689,                0.36438,                0.32002,                0.47763,               0.000416,               0.000416,               0.000416
                     43,                0.25647,                0.33347,                0.27118,                 1.0029,                0.98765,                0.94717,                0.95694,                0.94731,                0.98765,                0.94717,                0.95891,                0.94424,                0.18601,                 0.2959,                0.25244,                0.47259,              0.0003764,              0.0003764,              0.0003764
                     44,                0.24851,                0.31283,                0.24707,                 1.0058,                0.98781,                0.94717,                0.96108,                0.95452,                0.98823,                0.95078,                0.96254,                0.94926,                0.18555,                0.34042,                0.21639,                0.48916,              0.0003368,              0.0003368,              0.0003368
                     45,                0.23587,                0.30427,                0.23376,                0.98827,                0.98778,                0.94717,                0.96186,                0.95047,                0.98778,                0.94717,                0.95777,                0.94416,                0.20177,                0.34672,                0.20887,                0.50158,              0.0002972,              0.0002972,              0.0002972
                     46,                0.22027,                0.30659,                0.21998,                0.98296,                0.98791,                0.94717,                0.96117,                0.95194,                0.98437,                 0.9506,                0.96113,                 0.9485,                0.16713,                 0.3233,                0.22603,                0.45086,              0.0002576,              0.0002576,              0.0002576
                     47,                0.21159,                0.29751,                0.21052,                0.96729,                0.98766,                0.94717,                0.95595,                0.94989,                0.98766,                0.94717,                0.96046,                0.94663,                 0.1581,                0.33088,                0.19761,                0.43758,               0.000218,               0.000218,               0.000218
                     48,                0.20895,                  0.284,                0.20518,                0.96272,                0.98761,                0.94717,                0.96294,                0.95364,                0.98761,                0.94717,                0.96024,                0.94926,                0.15602,                0.32147,                0.21571,                0.43692,              0.0001784,              0.0001784,              0.0001784
                     49,                0.20318,                0.28593,                 0.1987,                 0.9537,                0.98714,                0.94717,                0.96516,                0.95525,                0.98714,                0.94717,                0.96267,                0.95153,                0.18235,                0.31714,                0.22502,                0.46811,              0.0001388,              0.0001388,              0.0001388
                     50,                0.19761,                0.27522,                  0.193,                0.95491,                 0.9804,                0.95094,                0.96619,                0.95417,                 0.9804,                0.95094,                0.96098,                0.95262,                 0.1811,                0.34566,                0.20864,                0.46851,               9.92e-05,               9.92e-05,               9.92e-05
