                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.30834,                0.62553,                0.93293,                 0.8425,                 0.7899,                 0.9143,                0.82349,                0.64039,                0.79947,                 1.3826,              8.457e-05,              8.457e-05,              8.457e-05
                     36,                0.30298,                0.61042,                0.93278,                0.76345,                0.76879,                0.89155,                0.68709,                0.97384,                 1.2781,                 1.7063,             7.9739e-05,             7.9739e-05,             7.9739e-05
                     37,                0.30991,                0.62183,                0.93675,                 0.7747,                0.82314,                0.89689,                0.70244,                 0.9705,                 1.1386,                  1.824,             7.4908e-05,             7.4908e-05,             7.4908e-05
                     38,                0.31129,                0.60559,                0.94373,                0.71374,                0.90141,                 0.9293,                0.78465,                0.73653,                0.98497,                 1.5555,             7.0077e-05,             7.0077e-05,             7.0077e-05
                     39,                  0.303,                0.57941,                0.93677,                0.82934,                0.85649,                0.90376,                0.78449,                0.78367,                 1.0996,                 1.6036,             6.5246e-05,             6.5246e-05,             6.5246e-05
                     40,                0.29964,                 0.5587,                0.93201,                0.79355,                  0.853,                0.90798,                0.77433,                0.63934,                0.97448,                 1.4185,             6.0414e-05,             6.0414e-05,             6.0414e-05
                     41,                0.23793,                0.39345,                0.92561,                0.73753,                0.81271,                0.85169,                0.73121,                0.73761,                 1.0557,                 1.5736,             5.5583e-05,             5.5583e-05,             5.5583e-05
                     42,                0.23153,                0.35209,                0.91158,                0.89323,                0.78013,                0.89392,                0.79186,                0.70457,                 1.0227,                  1.625,             5.0752e-05,             5.0752e-05,             5.0752e-05
                     43,                0.22499,                0.35002,                0.91664,                0.74038,                0.86949,                0.89226,                0.77663,                0.76561,                0.97726,                 1.5736,             4.5921e-05,             4.5921e-05,             4.5921e-05
                     44,                0.21888,                0.31638,                0.91563,                0.92578,                0.82374,                 0.9118,                0.78793,                0.76871,                0.94418,                 1.6752,              4.109e-05,              4.109e-05,              4.109e-05
                     45,                0.21229,                0.30327,                0.90425,                0.92735,                0.77669,                0.91877,                0.80098,                0.75363,                0.89896,                 1.6425,             3.6258e-05,             3.6258e-05,             3.6258e-05
                     46,                 0.2112,                0.29541,                0.90381,                0.91166,                0.76557,                0.92017,                0.77611,                0.76448,                0.99472,                 1.6071,             3.1427e-05,             3.1427e-05,             3.1427e-05
                     47,                0.21101,                0.28265,                0.91141,                 0.9094,                0.77373,                0.89876,                0.77504,                 0.7405,                0.95201,                 1.5854,             2.6596e-05,             2.6596e-05,             2.6596e-05
                     48,                0.20384,                0.27273,                0.90492,                0.86751,                0.80701,                0.89718,                0.76063,                0.77825,                0.99164,                 1.6179,             2.1765e-05,             2.1765e-05,             2.1765e-05
                     49,                0.19744,                0.25618,                0.89915,                0.76169,                0.86268,                0.91498,                0.77789,                0.82825,                0.93408,                 1.6376,             1.6934e-05,             1.6934e-05,             1.6934e-05
                     50,                0.19536,                  0.261,                0.90134,                0.79818,                 0.8528,                0.91523,                0.76441,                0.87326,                 1.0602,                 1.6791,             1.2102e-05,             1.2102e-05,             1.2102e-05
